Country,Vlookup value,Year,Year (copy),Anomaly Standardised,CO2 Emissions,Number of Records,Temperature
ALB,ALB1986,1986,1986,0.271800917,8.05,1,11.616395833
ALB,ALB1987,1987,1987,0.16164425,7.44,1,11.506239167
ALB,ALB1988,1988,1988,0.487985917,7.32,1,11.832580833
ALB,ALB1989,1989,1989,-0.045112417,8.98,1,11.2994825
ALB,ALB1990,1990,1990,0.633304250,5.51,1,11.977899167
ALB,ALB1991,1991,1991,-0.305659917,4.28,1,11.038935
ALB,ALB1992,1992,1992,0.085170917,2.51,1,11.429765833
ALB,ALB1993,1993,1993,0.190422583,2.33,1,11.5350175
ALB,ALB1994,1994,1994,1.066390083,1.92,1,12.410985
ALB,ALB1995,1995,1995,-0.105139917,2.08,1,11.239455
ALB,ALB1996,1996,1996,-0.101881583,2.02,1,11.242713333
ALB,ALB1997,1997,1997,0.248578417,1.54,1,11.593173333
ALB,ALB1998,1998,1998,0.626247583,1.75,1,11.9708425
ALB,ALB1999,1999,1999,1.06623175,2.98,1,12.410826667
ALB,ALB2000,2000,2000,1.05269925,3.02,1,12.397294167
ALB,ALB2001,2001,2001,1.006287583,3.22,1,12.3508825
ALB,ALB2002,2002,2002,1.10471175,3.75,1,12.449306667
ALB,ALB2003,2003,2003,0.876767583,4.29,1,12.2213625
ALB,ALB2004,2004,2004,0.515850083,4.16,1,11.860445
ALB,ALB2005,2005,2005,-0.003835750,4.25,1,11.340759167
ALB,ALB2006,2006,2006,0.158208417,3.89,1,11.502803333
ALB,ALB2007,2007,2007,1.01224425,3.92,1,12.356839167
ALB,ALB2008,2008,2008,1.159457583,4.37,1,12.5040525
ALB,ALB2009,2009,2009,1.05891925,4.37,1,12.403514167
ALB,ALB2010,2010,2010,1.12252675,4.59,1,12.467121667
ALB,ALB2011,2011,2011,0.858471750,5.24,1,12.203066667
ALB,ALB2012,2012,2012,1.388535083,4.91,1,12.73313
ALB,ALB2013,2013,2013,1.636358417,5.06,1,12.980953333
ALB,ALB2014,2014,2014,1.31491425,5.71,1,12.659509167
ALB,ALB2015,2015,2015,1.499497583,5.88,1,12.8440925
DZA,DZA1901,1901,1901,-0.125898056,0,1,22.499708333
DZA,DZA1902,1902,1902,-0.103414722,0,1,22.522191667
DZA,DZA1903,1903,1903,-0.264756389,0,1,22.36085
DZA,DZA1904,1904,1904,-0.134239722,0,1,22.491366667
DZA,DZA1905,1905,1905,-0.175264722,0,1,22.450341667
DZA,DZA1906,1906,1906,-0.374598056,0,1,22.251008333
DZA,DZA1907,1907,1907,-0.428356389,0,1,22.19725
DZA,DZA1908,1908,1908,-0.368048056,0,1,22.257558333
DZA,DZA1909,1909,1909,-0.293498056,0,1,22.332108333
DZA,DZA1910,1910,1910,-0.293714722,0,1,22.331891667
DZA,DZA1911,1911,1911,-0.321564722,0,1,22.304041667
DZA,DZA1912,1912,1912,-0.329464722,0,1,22.296141667
DZA,DZA1913,1913,1913,-0.144706389,0,1,22.4809
DZA,DZA1914,1914,1914,-0.186331389,0,1,22.439275
DZA,DZA1915,1915,1915,-0.719473056,0,1,21.906133333
DZA,DZA1916,1916,1916,-0.987298056,0.00367,1,21.638308333
DZA,DZA1917,1917,1917,-1.079381389,0.00734,1,21.546225
DZA,DZA1918,1918,1918,-1.074106389,0.01835,1,21.5515
DZA,DZA1919,1919,1919,-0.374214722,0.01835,1,22.251391667
DZA,DZA1920,1920,1920,-0.164048056,0.02202,1,22.461558333
DZA,DZA1921,1921,1921,-0.411798056,0.02569,1,22.213808333
DZA,DZA1922,1922,1922,-0.478673056,0.02569,1,22.146933333
DZA,DZA1923,1923,1923,-0.933040556,0.01468,1,21.692565833
DZA,DZA1924,1924,1924,-0.077439722,0.02936,1,22.548166667
DZA,DZA1925,1925,1925,-1.129381389,0.03303,1,21.496225
DZA,DZA1926,1926,1926,0.000743611,0.04037,1,22.62635
DZA,DZA1927,1927,1927,-0.136048056,0.05872,1,22.489558333
DZA,DZA1928,1928,1928,-0.019689722,0.0734,1,22.605916667
DZA,DZA1929,1929,1929,-0.447548056,0.08074,1,22.178058333
DZA,DZA1930,1930,1930,0.301693611,0.08441,1,22.9273
DZA,DZA1931,1931,1931,0.325935278,0.09909,1,22.951541667
DZA,DZA1932,1932,1932,-0.685723056,0.11377,1,21.939883333
DZA,DZA1933,1933,1933,-0.235014722,0.12111,1,22.390591667
DZA,DZA1934,1934,1934,-0.793730556,0.13946,1,21.831875833
DZA,DZA1935,1935,1935,-0.046856389,0.13212,1,22.57875
DZA,DZA1936,1936,1936,-0.047356389,0.05138,1,22.57825
DZA,DZA1937,1937,1937,0.486451944,0.06973,1,23.112058333
DZA,DZA1938,1938,1938,0.253343611,0.03303,1,22.87895
DZA,DZA1939,1939,1939,-0.170581389,0.16148,1,22.455025
DZA,DZA1940,1940,1940,0.043168611,0.23855,1,22.668775
DZA,DZA1941,1941,1941,0.396743611,0.31195,1,23.02235
DZA,DZA1942,1942,1942,0.705210278,0.49912,1,23.330816667
DZA,DZA1943,1943,1943,0.126551944,0.46976,1,22.752158333
DZA,DZA1944,1944,1944,0.005918611,0.49912,1,22.631525
DZA,DZA1945,1945,1945,0.309010278,0.61656,1,22.934616667
DZA,DZA1946,1946,1946,0.287551944,0.76336,1,22.913158333
DZA,DZA1947,1947,1947,0.242251944,0.74501,1,22.867858333
DZA,DZA1948,1948,1948,0.002126944,0.80373,1,22.627733333
DZA,DZA1949,1949,1949,0.339460278,0.91016,1,22.965066667
DZA,DZA1950,1950,1950,-0.238148056,3.79111,1,22.387458333
DZA,DZA1951,1951,1951,0.165560278,4.13976,1,22.791166667
DZA,DZA1952,1952,1952,0.111210278,3.89754,1,22.736816667
DZA,DZA1953,1953,1953,-0.176973056,4.00764,1,22.448633333
DZA,DZA1954,1954,1954,-0.491589722,4.16178,1,22.134016667
DZA,DZA1955,1955,1955,0.701968611,4.61686,1,23.327575
DZA,DZA1956,1956,1956,-0.502756389,5.00588,1,22.12285
DZA,DZA1957,1957,1957,-0.501039722,5.54904,1,22.124566667
DZA,DZA1958,1958,1958,0.301201944,5.22608,1,22.926808333
DZA,DZA1959,1959,1959,0.247201944,5.66,1,22.872808333
DZA,DZA1960,1960,1960,0.024793611,6.16,1,22.6504
DZA,DZA1961,1961,1961,0.145968611,6.06,1,22.771575
DZA,DZA1962,1962,1962,-0.196689722,5.66,1,22.428916667
DZA,DZA1963,1963,1963,-0.082156389,5.42,1,22.54345
DZA,DZA1964,1964,1964,-0.142014722,5.65,1,22.483591667
DZA,DZA1965,1965,1965,-0.255314722,6.59,1,22.370291667
DZA,DZA1966,1966,1966,0.226726944,8.42,1,22.852333333
DZA,DZA1967,1967,1967,-0.295831389,8.43,1,22.329775
DZA,DZA1968,1968,1968,-0.008814722,9.05,1,22.616791667
DZA,DZA1969,1969,1969,-0.024289722,11.27,1,22.601316667
DZA,DZA1970,1970,1970,0.138985278,15.06,1,22.764591667
DZA,DZA1971,1971,1971,-0.470056389,18.65,1,22.15555
DZA,DZA1972,1972,1972,-0.478764722,28.33,1,22.146841667
DZA,DZA1973,1973,1973,-0.346306389,38.28,1,22.2793
DZA,DZA1974,1974,1974,-0.782864722,31.88,1,21.842741667
DZA,DZA1975,1975,1975,-0.609823056,32.01,1,22.015783333
DZA,DZA1976,1976,1976,-0.973781389,39.14,1,21.651825
DZA,DZA1977,1977,1977,0.229243611,41.86,1,22.85485
DZA,DZA1978,1978,1978,0.039710278,62.48,1,22.665316667
DZA,DZA1979,1979,1979,0.325276944,45.58,1,22.950883333
DZA,DZA1980,1980,1980,0.037893611,66.46,1,22.6635
DZA,DZA1981,1981,1981,0.186576944,46.4,1,22.812183333
DZA,DZA1982,1982,1982,0.201576944,39.24,1,22.827183333
DZA,DZA1983,1983,1983,0.360135278,52.58,1,22.985741667
DZA,DZA1984,1984,1984,-0.079273056,71.04,1,22.546333333
DZA,DZA1985,1985,1985,0.193210278,72.73,1,22.818816667
DZA,DZA1986,1986,1986,-0.032064722,76.21,1,22.593541667
DZA,DZA1987,1987,1987,0.818068611,84.05,1,23.443675
DZA,DZA1988,1988,1988,0.478876944,83.88,1,23.104483333
DZA,DZA1989,1989,1989,0.536001944,79.98,1,23.161608333
DZA,DZA1990,1990,1990,0.859793611,76.91,1,23.4854
DZA,DZA1991,1991,1991,-0.322064722,78.98,1,22.303541667
DZA,DZA1992,1992,1992,-0.329573056,80.07,1,22.296033333
DZA,DZA1993,1993,1993,0.342118611,82.14,1,22.967725
DZA,DZA1994,1994,1994,0.604526944,86.35,1,23.230133333
DZA,DZA1995,1995,1995,0.671201944,95.22,1,23.296808333
DZA,DZA1996,1996,1996,0.533993611,97.02,1,23.1596
DZA,DZA1997,1997,1997,0.807901944,87.27,1,23.433508333
DZA,DZA1998,1998,1998,0.928635278,106.91,1,23.554241667
DZA,DZA1999,1999,1999,0.862310278,91.97,1,23.487916667
DZA,DZA2000,2000,2000,0.923701944,87.79,1,23.549308333
DZA,DZA2001,2001,2001,1.385826944,84.15,1,24.011433333
DZA,DZA2002,2002,2002,0.945443611,89.83,1,23.57105
DZA,DZA2003,2003,2003,1.196226944,91.5,1,23.821833333
DZA,DZA2004,2004,2004,0.738151944,88.44,1,23.363758333
DZA,DZA2005,2005,2005,0.917835278,107.19,1,23.543441667
DZA,DZA2006,2006,2006,0.881268611,100.99,1,23.506875
DZA,DZA2007,2007,2007,0.840110278,109.32,1,23.465716667
DZA,DZA2008,2008,2008,0.585210278,110.12,1,23.210816667
DZA,DZA2009,2009,2009,1.132968611,121.3,1,23.758575
DZA,DZA2010,2010,2010,1.509968611,119.08,1,24.135575
DZA,DZA2011,2011,2011,1.073435278,121.09,1,23.699041667
DZA,DZA2012,2012,2012,0.992643611,129.88,1,23.61825
DZA,DZA2013,2013,2013,0.810693611,134.36,1,23.4363
DZA,DZA2014,2014,2014,1.296126944,145.28,1,23.921733333
DZA,DZA2015,2015,2015,0.951760278,154.31,1,23.577366667
ASM,ASM1901,1901,1901,-0.337053889,,1,26.278308333
ASM,ASM1902,1902,1902,-0.347070556,,1,26.268291667
ASM,ASM1903,1903,1903,-0.572037222,,1,26.043325
ASM,ASM1904,1904,1904,-0.818728889,,1,25.796633333
ASM,ASM1905,1905,1905,-0.742045556,,1,25.873316667
ASM,ASM1906,1906,1906,-0.313737222,,1,26.301625
ASM,ASM1907,1907,1907,-0.773745556,,1,25.841616667
ASM,ASM1908,1908,1908,-0.732037222,,1,25.883325
ASM,ASM1909,1909,1909,-0.955387222,,1,25.659975
ASM,ASM1910,1910,1910,-0.863712222,,1,25.75165
ASM,ASM1911,1911,1911,-0.328745556,,1,26.286616667
ASM,ASM1912,1912,1912,0.024596111,,1,26.639958333
ASM,ASM1913,1913,1913,-0.140387222,,1,26.474975
ASM,ASM1914,1914,1914,0.094612778,,1,26.709975
ASM,ASM1915,1915,1915,-0.467070556,,1,26.148291667
ASM,ASM1916,1916,1916,-0.693728889,,1,25.921633333
ASM,ASM1917,1917,1917,-0.810387222,,1,25.804975
ASM,ASM1918,1918,1918,-0.685370556,,1,25.929991667
ASM,ASM1919,1919,1919,0.069629444,,1,26.684991667
ASM,ASM1920,1920,1920,0.034621111,,1,26.649983333
ASM,ASM1921,1921,1921,-0.247045556,,1,26.368316667
ASM,ASM1922,1922,1922,-0.110370556,,1,26.504991667
ASM,ASM1923,1923,1923,-0.440395556,,1,26.174966667
ASM,ASM1924,1924,1924,-0.120378889,,1,26.494983333
ASM,ASM1925,1925,1925,-0.310387222,,1,26.304975
ASM,ASM1926,1926,1926,0.071271111,,1,26.686633333
ASM,ASM1927,1927,1927,0.126254444,,1,26.741616667
ASM,ASM1928,1928,1928,-0.030370556,,1,26.584991667
ASM,ASM1929,1929,1929,-0.087028889,,1,26.528333333
ASM,ASM1930,1930,1930,-0.015387222,,1,26.599975
ASM,ASM1931,1931,1931,-0.328737222,,1,26.286625
ASM,ASM1932,1932,1932,-0.168712222,,1,26.44665
ASM,ASM1933,1933,1933,-0.585395556,,1,26.029966667
ASM,ASM1934,1934,1934,-0.475412222,,1,26.13995
ASM,ASM1935,1935,1935,-0.203728889,,1,26.411633333
ASM,ASM1936,1936,1936,-0.305387222,,1,26.309975
ASM,ASM1937,1937,1937,-0.193728889,,1,26.421633333
ASM,ASM1938,1938,1938,-0.312053889,,1,26.303308333
ASM,ASM1939,1939,1939,-0.472053889,,1,26.143308333
ASM,ASM1940,1940,1940,-0.030378889,,1,26.584983333
ASM,ASM1941,1941,1941,0.236262778,,1,26.851625
ASM,ASM1942,1942,1942,-0.020387222,,1,26.594975
ASM,ASM1943,1943,1943,-0.167070556,,1,26.448291667
ASM,ASM1944,1944,1944,-0.167045556,,1,26.448316667
ASM,ASM1945,1945,1945,-0.140378889,,1,26.474983333
ASM,ASM1946,1946,1946,-0.035395556,,1,26.579966667
ASM,ASM1947,1947,1947,0.217929444,,1,26.833291667
ASM,ASM1948,1948,1948,-0.078720556,,1,26.536641667
